* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 234, L 235, L 236, L 237, L 238
* Dated: 3/08/2024 03:57:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 234, L 235, L 236, L 237, L 238
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.551
20.299999	69.769
20.600000	70.067
20.900000	70.401
21.200001	70.712
21.400000	70.884
21.799999	71.131
22.000000	71.218
22.400000	71.364
22.700001	71.501
23.000000	71.684
23.299999	71.904
23.600000	72.132
24.000000	72.397
24.299999	72.552
24.700001	72.724
25.000000	72.866
25.400000	73.112
25.799999	73.417
26.200001	73.724
26.500000	73.917
26.900000	74.113
27.200001	74.229
27.600000	74.394
28.000000	74.616
28.500000	74.975
29.000000	75.329
29.500000	75.590
30.000000	75.761
30.400000	75.890
30.700001	76.015
31.100000	76.236
31.500000	76.494
32.000000	76.799
32.500000	77.026
33.000000	77.189
33.500000	77.350
34.000000	77.560
34.500000	77.814
35.000000	78.067
35.500000	78.287
36.000000	78.472
36.500000	78.641
37.000000	78.816
37.500000	79.005
38.200001	79.282
38.700001	79.471
39.500000	79.742
40.000000	79.893
40.599998	80.069
41.200001	80.281
41.799999	80.566
42.500000	80.908
43.099998	81.095
43.700001	81.197
44.400002	81.366
45.000000	81.583
45.500000	81.745
46.200001	81.906
46.799999	82.050
47.500000	82.279
48.200001	82.499
48.700001	82.620
49.400002	82.770
50.000000	82.921
50.799999	83.154
51.500000	83.355
52.200001	83.540
53.000000	83.735
53.799999	83.914
54.500000	84.059
55.200001	84.189
56.000000	84.354
57.000000	84.603
58.000000	84.718
59.000000	84.987
60.000000	85.335
60.799999	85.403
61.500000	85.493
62.200001	85.660
63.000000	85.784
64.000000	85.902
65.000000	86.094
66.000000	86.253
67.000000	86.395
68.000000	86.514
69.000000	86.648
70.000000	86.809
71.000000	86.957
72.000000	87.091
73.000000	87.292
74.000000	87.474
75.000000	87.603
76.199997	87.756
77.500000	87.834
78.800003	88.009
80.000000	88.131
81.199997	88.270
82.500000	88.442
83.800003	88.605
85.000000	88.783
86.199997	88.930
87.500000	89.078
88.500000	89.188
90.000000	89.348
91.199997	89.478
92.500000	89.614
93.800003	89.759
95.000000	89.863
96.199997	89.999
97.500000	90.130
98.800003	90.239
100.000000	90.354
101.500000	90.469
103.000000	90.600
104.400002	90.737
106.000000	90.837
107.500000	90.958
109.000000	91.067
110.599998	91.182
112.000000	91.295
113.800003	91.420
115.000000	91.506
117.199997	91.651
