* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 208, L 209, L 210, L 211
* Dated: 31/07/2024 01:16:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 208, L 209, L 210, L 211
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	63.956
20.299999	64.241
20.600000	64.402
20.900000	64.452
21.200001	64.438
21.400000	64.431
21.799999	64.500
22.000000	64.598
22.400000	64.899
22.700001	65.172
23.000000	65.446
23.299999	65.705
23.600000	65.952
24.000000	66.287
24.299999	66.550
24.700001	66.912
25.000000	67.185
25.400000	67.548
25.799999	67.912
26.200001	68.267
26.500000	68.513
26.900000	68.801
27.200001	68.987
27.600000	69.221
28.000000	69.465
28.500000	69.786
29.000000	70.064
29.500000	70.277
30.000000	70.522
30.400000	70.808
30.700001	71.065
31.100000	71.399
31.500000	71.645
32.000000	71.805
32.500000	71.925
33.000000	72.170
33.500000	72.534
34.000000	72.871
34.500000	73.119
35.000000	73.362
35.500000	73.680
36.000000	74.031
36.500000	74.316
37.000000	74.520
37.500000	74.720
38.200001	75.104
38.700001	75.411
39.500000	75.822
40.000000	76.033
40.599998	76.293
41.200001	76.597
41.799999	76.946
42.500000	77.353
43.099998	77.649
43.700001	77.885
44.400002	78.107
45.000000	78.299
45.500000	78.506
46.200001	78.864
46.799999	79.152
47.500000	79.426
48.200001	79.720
48.700001	79.950
49.400002	80.231
50.000000	80.429
50.799999	80.720
51.500000	80.994
52.200001	81.246
53.000000	81.538
53.799999	81.825
54.500000	82.027
55.200001	82.211
56.000000	82.510
57.000000	82.962
58.000000	83.247
59.000000	83.697
60.000000	84.151
60.799999	84.311
61.500000	84.493
62.200001	84.736
63.000000	84.984
64.000000	85.325
65.000000	85.697
66.000000	86.098
67.000000	86.558
68.000000	86.939
69.000000	87.311
70.000000	87.690
71.000000	88.009
72.000000	88.320
73.000000	88.538
74.000000	88.725
75.000000	89.040
76.199997	89.477
77.500000	89.920
78.800003	90.315
80.000000	90.650
81.199997	91.004
82.500000	91.347
83.800003	91.684
85.000000	91.964
86.199997	92.237
87.500000	92.531
88.500000	92.729
90.000000	93.039
91.199997	93.261
92.500000	93.488
93.800003	93.696
95.000000	93.872
96.199997	94.040
97.500000	94.207
98.800003	94.356
100.000000	94.482
101.500000	94.626
103.000000	94.743
104.400002	94.854
106.000000	94.944
107.500000	95.022
109.000000	95.086
110.599998	95.151
112.000000	95.181
113.800003	95.216
115.000000	95.226
117.199997	95.230
118.000000	95.232
120.599998	95.165
122.000000	95.136
124.099998	95.122
125.000000	95.108
126.500000	95.093
128.000000	95.008
131.500000	94.931
132.000000	94.920
134.000000	94.851
136.000000	94.806
138.000000	94.711
140.000000	94.649
143.000000	94.523
145.000000	94.460
147.500000	94.400
150.000000	94.252
152.500000	94.157
155.000000	94.072
157.500000	93.995
160.000000	93.901
162.500000	93.824
165.000000	93.691
167.500000	93.625
170.000000	93.511
172.500000	93.325
175.000000	93.337
177.500000	93.232
180.000000	93.201
182.500000	93.141
185.000000	93.105
187.500000	93.044
190.000000	92.993
192.500000	92.935
195.000000	92.885
197.500000	92.839
200.000000	92.795
203.000000	92.775
206.000000	92.757
209.000000	92.743
212.000000	92.708
214.000000	92.733
218.000000	92.727
220.000000	92.736
224.000000	92.747
227.000000	92.792
230.000000	92.846
233.000000	92.895
236.000000	93.003
240.000000	93.148
243.000000	93.223
247.000000	93.327
250.000000	93.379
254.000000	93.310
258.000000	93.176
262.000000	92.975
265.000000	92.792
269.000000	92.730
272.000000	92.640
276.000000	92.557
280.000000	92.497
285.000000	92.410
290.000000	92.386
295.000000	92.373
300.000000	92.380
304.000000	92.390
307.000000	92.422
311.000000	92.443
315.000000	92.428
320.000000	92.431
325.000000	92.392
330.000000	92.337
335.000000	92.295
340.000000	92.276
345.000000	92.294
350.000000	92.260
355.000000	92.247
360.000000	92.192
365.000000	92.207
370.000000	92.205
375.000000	92.234
382.000000	92.227
387.000000	92.210
395.000000	92.229
400.000000	92.257
406.000000	92.251
412.000000	92.232
418.000000	92.296
425.000000	92.289
431.000000	92.332
437.000000	92.334
444.000000	92.364
450.000000	92.375
455.000000	92.382
462.000000	92.431
468.000000	92.386
475.000000	92.392
482.000000	92.427
487.000000	92.413
494.000000	92.429
500.000000	92.404
508.000000	92.427
515.000000	92.454
522.000000	92.443
530.000000	92.452
538.000000	92.487
545.000000	92.517
552.000000	92.509
560.000000	92.497
570.000000	92.556
580.000000	92.648
590.000000	92.720
600.000000	92.817
608.000000	92.839
615.000000	92.882
622.000000	92.944
630.000000	93.006
640.000000	93.087
650.000000	93.161
660.000000	93.226
670.000000	93.259
