* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 391, R 392, R 393, R 394
* Dated: 9/08/2024 03:01:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 391, R 392, R 393, R 394
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	96.759
20.299999	96.877
20.600000	97.002
20.900000	97.128
21.200001	97.249
21.400000	97.326
21.799999	97.464
22.000000	97.527
22.400000	97.642
22.700001	97.722
23.000000	97.802
23.299999	97.882
23.600000	97.961
24.000000	98.065
24.299999	98.139
24.700001	98.234
25.000000	98.301
25.400000	98.388
25.799999	98.472
26.200001	98.551
26.500000	98.606
26.900000	98.678
27.200001	98.730
27.600000	98.800
28.000000	98.873
28.500000	98.964
29.000000	99.052
29.500000	99.134
30.000000	99.211
30.400000	99.270
30.700001	99.312
31.100000	99.366
31.500000	99.416
32.000000	99.474
32.500000	99.526
33.000000	99.572
33.500000	99.616
34.000000	99.661
34.500000	99.708
35.000000	99.752
35.500000	99.791
36.000000	99.829
36.500000	99.868
37.000000	99.905
37.500000	99.938
38.200001	99.980
38.700001	100.013
39.500000	100.066
40.000000	100.088
40.599998	100.108
41.200001	100.126
41.799999	100.144
42.500000	100.154
43.099998	100.150
43.700001	100.143
44.400002	100.135
45.000000	100.129
45.500000	100.120
46.200001	100.098
46.799999	100.072
47.500000	100.046
48.200001	100.023
48.700001	100.010
49.400002	100.017
50.000000	100.051
50.799999	100.087
51.500000	100.059
52.200001	99.994
53.000000	99.925
53.799999	99.869
54.500000	99.825
55.200001	99.794
56.000000	99.771
57.000000	99.744
58.000000	99.718
59.000000	99.702
60.000000	99.705
60.799999	99.717
61.500000	99.727
62.200001	99.732
63.000000	99.726
64.000000	99.707
65.000000	99.676
66.000000	99.648
67.000000	99.621
68.000000	99.578
69.000000	99.526
70.000000	99.471
71.000000	99.416
72.000000	99.378
73.000000	99.345
74.000000	99.318
75.000000	99.318
76.199997	99.312
77.500000	99.323
78.800003	99.334
80.000000	99.348
81.199997	99.319
82.500000	99.313
83.800003	99.294
85.000000	99.229
86.199997	99.171
87.500000	99.159
88.500000	99.153
90.000000	99.141
91.199997	99.139
92.500000	99.149
93.800003	99.151
95.000000	99.134
96.199997	99.132
97.500000	99.114
98.800003	99.098
100.000000	99.066
101.500000	99.005
103.000000	98.943
104.400002	98.913
106.000000	98.910
107.500000	98.898
109.000000	98.872
110.599998	98.848
112.000000	98.811
113.800003	98.775
115.000000	98.744
117.199997	98.665
118.000000	98.641
120.599998	98.575
122.000000	98.539
124.099998	98.474
125.000000	98.452
126.500000	98.398
128.000000	98.343
131.500000	98.214
132.000000	98.199
134.000000	98.132
136.000000	98.051
138.000000	97.986
140.000000	97.898
143.000000	97.784
145.000000	97.701
147.500000	97.615
150.000000	97.533
152.500000	97.443
155.000000	97.359
157.500000	97.268
160.000000	97.184
162.500000	97.074
165.000000	96.975
167.500000	96.857
170.000000	96.746
172.500000	96.653
175.000000	96.576
177.500000	96.509
180.000000	96.453
182.500000	96.368
185.000000	96.297
187.500000	96.221
190.000000	96.137
192.500000	96.062
195.000000	95.980
197.500000	95.889
200.000000	95.811
203.000000	95.715
206.000000	95.629
209.000000	95.525
212.000000	95.437
214.000000	95.360
218.000000	95.191
220.000000	95.139
224.000000	95.073
227.000000	95.018
230.000000	94.959
233.000000	94.888
