* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -20,9 dBFS, measurement signal peak level -19,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26/07/2024 02:17:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0175 ms (-6,0 mm, -0,24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R 65
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.915	-124.9597
20.299999	89.941	-125.0533
20.600000	90.023	-125.0482
20.900000	90.163	-125.1834
21.200001	90.334	-125.6511
21.400000	90.448	-126.1826
21.799999	90.630	-127.6161
22.000000	90.687	-128.4048
22.400000	90.738	-129.8602
22.700001	90.742	-130.6592
23.000000	90.746	-131.1769
23.299999	90.772	-131.4976
23.600000	90.826	-131.7668
24.000000	90.928	-132.2690
24.299999	91.004	-132.7981
24.700001	91.080	-133.6145
25.000000	91.117	-134.1990
25.400000	91.152	-134.8474
25.799999	91.193	-135.3790
26.200001	91.246	-135.9203
26.500000	91.287	-136.3879
26.900000	91.331	-137.0775
27.200001	91.352	-137.5979
27.600000	91.370	-138.2303
28.000000	91.388	-138.7838
28.500000	91.421	-139.4413
29.000000	91.459	-140.1426
29.500000	91.492	-140.8624
30.000000	91.522	-141.5364
30.400000	91.550	-142.0438
30.700001	91.573	-142.4206
31.100000	91.604	-142.9249
31.500000	91.634	-143.4158
32.000000	91.672	-143.9811
32.500000	91.717	-144.5064
33.000000	91.771	-145.0536
33.500000	91.824	-145.6577
34.000000	91.869	-146.3049
34.500000	91.904	-146.9725
35.000000	91.924	-147.6329
35.500000	91.930	-148.2246
36.000000	91.933	-148.6838
36.500000	91.951	-149.0464
37.000000	91.990	-149.4606
37.500000	92.029	-150.0284
38.200001	92.050	-150.8952
38.700001	92.051	-151.3629
39.500000	92.090	-151.9874
40.000000	92.124	-152.5223
40.599998	92.135	-153.2026
41.200001	92.131	-153.6398
41.799999	92.164	-153.9140
42.500000	92.237	-154.5051
43.099998	92.268	-155.2538
43.700001	92.260	-155.8721
44.400002	92.258	-156.3234
45.000000	92.279	-156.7314
45.500000	92.292	-157.1395
46.200001	92.298	-157.6567
46.799999	92.316	-158.0400
47.500000	92.348	-158.6204
48.200001	92.356	-159.3192
48.700001	92.344	-159.7344
49.400002	92.335	-160.1193
50.000000	92.352	-160.4063
50.799999	92.390	-160.9630
51.500000	92.400	-161.5511
52.200001	92.390	-161.9985
53.000000	92.395	-162.3348
53.799999	92.414	-162.7481
54.500000	92.420	-163.1031
55.200001	92.437	-163.3884
56.000000	92.470	-163.9051
57.000000	92.455	-164.6411
58.000000	92.451	-165.0642
59.000000	92.455	-165.7336
60.000000	92.426	-166.1061
60.799999	92.461	-166.3231
61.500000	92.493	-166.8414
62.200001	92.479	-167.3608
63.000000	92.464	-167.6313
64.000000	92.496	-168.1158
65.000000	92.473	-168.7642
66.000000	92.461	-169.0309
67.000000	92.479	-169.5351
68.000000	92.471	-169.9488
69.000000	92.502	-170.3867
70.000000	92.502	-171.0226
71.000000	92.487	-171.3928
72.000000	92.492	-171.7308
73.000000	92.491	-172.1134
74.000000	92.477	-172.4669
75.000000	92.468	-172.7383
76.199997	92.473	-173.2217
77.500000	92.452	-173.7902
78.800003	92.453	-174.2661
80.000000	92.454	-174.8343
81.199997	92.441	-175.3136
82.500000	92.412	-175.7671
83.800003	92.403	-175.8621
85.000000	92.421	-176.4667
86.199997	92.368	-176.7149
87.500000	92.404	-177.2352
88.500000	92.349	-177.6810
90.000000	92.355	-177.8217
91.199997	92.370	-178.2778
92.500000	92.356	-178.7893
93.800003	92.337	-179.1709
95.000000	92.327	-179.5066
96.199997	92.322	179.9813
97.500000	92.272	179.6871
98.800003	92.295	179.4518
100.000000	92.287	179.0002
101.500000	92.256	178.5932
103.000000	92.242	178.2806
104.400002	92.197	177.9255
106.000000	92.194	177.7407
107.500000	92.176	177.3153
109.000000	92.159	176.9734
110.599998	92.139	176.5740
112.000000	92.101	176.1861
113.800003	92.098	175.9906
115.000000	92.089	175.4886
117.199997	92.069	174.7478
118.000000	91.992	174.5818
120.599998	91.992	174.2209
122.000000	91.998	174.1986
124.099998	91.950	173.8127
125.000000	91.970	173.5721
126.500000	91.929	173.2152
128.000000	91.908	172.7073
131.500000	91.835	172.1663
132.000000	91.814	172.1477
134.000000	91.806	171.7369
136.000000	91.776	171.5244
138.000000	91.755	171.3484
140.000000	91.715	171.0303
143.000000	91.626	170.4730
145.000000	91.605	170.0220
147.500000	91.582	169.7821
150.000000	91.526	169.4937
152.500000	91.482	168.7546
155.000000	91.450	168.8052
157.500000	91.411	168.4399
160.000000	91.339	168.2615
162.500000	91.392	168.4473
165.000000	91.238	167.7033
167.500000	91.141	167.3838
170.000000	91.124	167.0393
172.500000	91.031	166.7857
175.000000	90.983	166.5083
177.500000	90.874	166.2518
180.000000	90.803	165.9011
182.500000	90.787	166.0364
185.000000	90.711	165.8346
187.500000	90.616	165.6932
190.000000	90.538	165.6874
192.500000	90.474	165.7667
195.000000	90.403	165.9462
197.500000	90.385	166.2822
200.000000	90.403	166.2469
203.000000	90.454	166.1522
206.000000	90.449	165.9968
209.000000	90.470	165.6895
212.000000	90.408	165.3499
214.000000	90.401	164.8920
218.000000	90.340	164.3854
220.000000	90.300	164.1425
224.000000	90.239	163.8100
227.000000	90.209	163.7456
230.000000	90.188	163.4431
233.000000	90.140	163.2521
236.000000	90.113	163.1354
240.000000	89.951	162.8366
243.000000	89.987	162.5602
247.000000	89.898	162.5881
250.000000	89.834	162.5131
254.000000	89.715	162.2997
258.000000	89.733	162.4893
262.000000	89.632	162.2434
265.000000	89.606	162.0878
269.000000	89.504	162.1155
272.000000	89.467	161.8909
276.000000	89.393	161.8772
280.000000	89.378	161.7512
285.000000	89.262	161.8324
290.000000	89.155	161.9755
295.000000	89.076	161.6999
300.000000	88.999	161.5365
304.000000	88.967	161.6906
307.000000	88.902	161.5774
311.000000	88.849	161.5496
315.000000	88.764	161.5594
320.000000	88.684	161.7150
325.000000	88.595	161.4688
330.000000	88.510	161.4292
335.000000	88.528	161.7078
340.000000	88.373	161.9114
345.000000	88.308	161.5931
350.000000	88.250	161.9963
355.000000	88.166	161.8582
360.000000	88.049	162.4255
365.000000	87.963	162.0021
370.000000	87.923	162.3068
375.000000	87.825	162.7563
382.000000	87.793	162.9813
387.000000	87.760	163.2106
395.000000	87.621	163.2574
400.000000	87.614	163.4790
406.000000	87.498	163.7661
412.000000	87.443	163.8875
418.000000	87.443	164.0327
425.000000	87.277	164.5078
431.000000	87.246	164.5831
437.000000	87.103	164.4252
444.000000	87.091	164.7344
450.000000	87.008	165.2357
455.000000	86.936	165.2391
462.000000	86.840	165.8416
468.000000	86.836	165.8905
475.000000	86.758	166.0267
482.000000	86.657	166.5162
487.000000	86.609	166.5049
494.000000	86.509	167.0228
500.000000	86.464	167.3277
508.000000	86.516	167.7513
515.000000	86.334	168.4176
522.000000	86.270	168.9086
530.000000	86.200	169.6149
538.000000	86.116	169.8115
545.000000	86.032	170.0367
552.000000	85.991	170.5241
560.000000	85.916	170.8317
570.000000	85.783	172.1097
580.000000	85.740	171.9561
590.000000	85.645	173.0876
600.000000	85.626	173.6668
608.000000	85.582	174.2540
615.000000	85.513	174.4130
622.000000	85.444	174.8090
630.000000	85.419	175.6749
640.000000	85.333	176.3683
650.000000	85.301	176.9993
660.000000	85.247	177.9502
670.000000	85.173	178.1631
680.000000	85.062	179.3130
690.000000	85.046	179.7564
700.000000	84.999	-179.0885
710.000000	84.872	-178.4523
720.000000	84.811	-178.3052
730.000000	84.871	-176.7383
740.000000	84.788	-176.5593
750.000000	84.768	-175.1982
762.000000	84.746	-174.2136
775.000000	84.611	-172.9680
788.000000	84.589	-172.6494
800.000000	84.590	-171.1504
812.000000	84.463	-170.7266
825.000000	84.490	-168.4819
838.000000	84.348	-167.9330
850.000000	84.397	-166.5927
862.000000	84.457	-165.6524
875.000000	84.306	-164.0380
885.000000	84.419	-162.7205
900.000000	84.320	-160.9592
912.000000	84.305	-160.1014
925.000000	84.296	-158.3557
938.000000	84.405	-156.9770
950.000000	84.435	-155.0442
962.000000	84.339	-153.8511
975.000000	84.391	-152.5411
988.000000	84.576	-151.0016
1000.000000	84.625	-149.3582
1015.000000	84.773	-147.6683
1030.000000	84.884	-145.7498
1044.000000	85.113	-144.0962
1060.000000	85.317	-142.3799
1075.000000	85.496	-140.3573
1090.000000	85.779	-139.4552
1106.000000	86.060	-138.8041
1120.000000	86.390	-137.9744
1138.000000	86.675	-137.5795
1150.000000	86.876	-137.0973
1172.000000	87.220	-137.5155
1180.000000	87.298	-137.2095
1206.000000	87.606	-137.8618
1220.000000	87.721	-137.9282
1241.000000	87.872	-137.8294
1250.000000	87.990	-138.6710
1265.000000	88.058	-138.3459
1280.000000	88.201	-138.4476
1315.000000	88.386	-138.6188
1320.000000	88.421	-138.4779
1340.000000	88.547	-138.6559
1360.000000	88.626	-138.8281
1380.000000	88.739	-138.1191
1400.000000	88.850	-138.2300
1430.000000	89.001	-138.1400
1450.000000	89.115	-137.9088
1475.000000	89.203	-137.3732
1500.000000	89.332	-137.1238
1525.000000	89.452	-136.7319
1550.000000	89.592	-136.4097
1575.000000	89.690	-136.0887
1600.000000	89.794	-135.7679
1625.000000	89.994	-135.3795
1650.000000	90.112	-135.1860
1675.000000	90.221	-135.0049
1700.000000	90.434	-134.3582
1725.000000	90.527	-134.2917
1750.000000	90.696	-133.8053
1775.000000	90.860	-133.1662
1800.000000	91.082	-133.0271
1825.000000	91.220	-132.9849
1850.000000	91.440	-132.6215
1875.000000	91.627	-132.7464
1900.000000	91.737	-132.2842
1925.000000	91.917	-132.1382
1950.000000	92.161	-132.0684
1975.000000	92.349	-132.0837
2000.000000	92.531	-132.4466
2030.000000	92.809	-132.5038
2060.000000	93.017	-132.3950
2090.000000	93.256	-132.7999
2120.000000	93.514	-133.2946
2140.000000	93.687	-133.6490
2180.000000	93.983	-134.2487
2200.000000	94.135	-134.6644
2240.000000	94.436	-135.6821
2270.000000	94.690	-136.3387
2300.000000	94.924	-137.3091
2330.000000	95.117	-138.2648
2360.000000	95.336	-139.4574
2400.000000	95.590	-141.2980
2430.000000	95.741	-142.5233
2470.000000	95.967	-144.4149
2500.000000	96.066	-145.9758
2540.000000	96.223	-148.1041
2580.000000	96.345	-150.1928
2620.000000	96.392	-152.2996
2650.000000	96.423	-153.8615
2690.000000	96.445	-155.9830
2720.000000	96.422	-157.5813
2760.000000	96.388	-159.3612
2800.000000	96.330	-161.0491
2850.000000	96.170	-162.9761
2900.000000	96.014	-164.6511
2950.000000	95.872	-166.1163
3000.000000	95.654	-167.2347
3040.000000	95.534	-167.9688
3070.000000	95.394	-168.6077
3110.000000	95.254	-168.9635
3150.000000	95.090	-169.3730
3200.000000	94.870	-169.4194
3250.000000	94.677	-169.6891
3300.000000	94.487	-169.1912
3350.000000	94.286	-169.1017
3400.000000	94.127	-168.8498
3450.000000	93.976	-168.1013
3500.000000	93.834	-167.8082
3550.000000	93.710	-167.0211
3600.000000	93.624	-166.3185
3650.000000	93.535	-165.4228
3700.000000	93.500	-164.6966
3750.000000	93.459	-163.5956
3820.000000	93.408	-162.2142
3870.000000	93.432	-161.1783
3950.000000	93.512	-159.6855
4000.000000	93.544	-159.0828
4060.000000	93.639	-157.5688
4120.000000	93.796	-156.8387
4180.000000	94.024	-155.3898
4250.000000	94.276	-154.0421
4310.000000	94.527	-153.5129
4370.000000	94.840	-152.5399
4440.000000	95.225	-151.8627
4500.000000	95.617	-152.0393
4550.000000	95.953	-151.8483
4620.000000	96.463	-152.0898
4680.000000	96.984	-152.9161
4750.000000	97.547	-154.4961
4820.000000	98.174	-156.7210
4870.000000	98.600	-159.2035
4940.000000	99.107	-163.4260
5000.000000	99.477	-168.0824
5080.000000	99.692	-175.0540
5150.000000	99.637	178.6078
5220.000000	99.282	173.3728
5300.000000	98.814	168.8347
5380.000000	98.514	165.1512
5450.000000	98.224	161.4272
5520.000000	97.772	156.9604
5600.000000	97.049	153.2097
5700.000000	96.081	149.9336
5800.000000	95.073	148.6874
5900.000000	94.198	148.4592
6000.000000	93.415	149.5099
6080.000000	92.776	150.7048
6150.000000	92.373	152.3592
6220.000000	91.902	153.8260
6300.000000	91.519	155.5357
6400.000000	91.160	158.6384
6500.000000	90.904	161.2335
6600.000000	90.679	164.1236
6700.000000	90.627	167.2354
6800.000000	90.501	169.1688
6900.000000	90.554	171.9465
7000.000000	90.677	175.2374
7100.000000	90.806	177.6371
7200.000000	91.177	179.8932
7300.000000	91.509	-177.9417
7400.000000	92.100	-176.3239
7500.000000	92.662	-174.9177
7620.000000	93.783	-173.7293
7750.000000	95.135	-178.6218
7880.000000	96.430	173.3956
8000.000000	97.241	161.0953
8120.000000	97.210	145.2336
8250.000000	95.948	130.7892
8380.000000	93.913	120.0402
8500.000000	91.883	115.9387
8620.000000	90.127	114.5085
8750.000000	88.365	115.7882
8850.000000	87.210	117.3094
9000.000000	85.674	121.4751
9120.000000	84.455	123.5236
9250.000000	83.418	127.9671
9380.000000	82.584	132.3436
9500.000000	81.826	136.7351
9620.000000	81.086	141.6077
9750.000000	80.420	147.5769
9880.000000	79.617	152.1952
