* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 375, R 376, R 377, R 378
* Dated: 9/08/2024 02:28:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 375, R 376, R 377, R 378
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	89.421
20.299999	89.576
20.600000	89.705
20.900000	89.819
21.200001	89.930
21.400000	90.010
21.799999	90.191
22.000000	90.291
22.400000	90.499
22.700001	90.648
23.000000	90.785
23.299999	90.911
23.600000	91.033
24.000000	91.199
24.299999	91.332
24.700001	91.516
25.000000	91.653
25.400000	91.826
25.799999	91.985
26.200001	92.141
26.500000	92.261
26.900000	92.427
27.200001	92.553
27.600000	92.714
28.000000	92.864
28.500000	93.036
29.000000	93.206
29.500000	93.385
30.000000	93.569
30.400000	93.714
30.700001	93.818
31.100000	93.953
31.500000	94.084
32.000000	94.247
32.500000	94.411
33.000000	94.578
33.500000	94.744
34.000000	94.906
34.500000	95.061
35.000000	95.208
35.500000	95.355
36.000000	95.508
36.500000	95.663
37.000000	95.810
37.500000	95.945
38.200001	96.130
38.700001	96.272
39.500000	96.505
40.000000	96.633
40.599998	96.770
41.200001	96.909
41.799999	97.058
42.500000	97.231
43.099998	97.362
43.700001	97.481
44.400002	97.614
45.000000	97.731
45.500000	97.829
46.200001	97.965
46.799999	98.074
47.500000	98.188
48.200001	98.289
48.700001	98.353
49.400002	98.435
50.000000	98.509
50.799999	98.620
51.500000	98.718
52.200001	98.791
53.000000	98.825
53.799999	98.837
54.500000	98.868
55.200001	98.905
56.000000	98.974
57.000000	99.140
58.000000	99.240
59.000000	99.468
60.000000	99.769
60.799999	99.839
61.500000	99.908
62.200001	100.034
63.000000	100.151
64.000000	100.280
65.000000	100.427
66.000000	100.537
67.000000	100.640
68.000000	100.733
69.000000	100.814
70.000000	100.883
71.000000	100.956
72.000000	101.030
73.000000	101.106
74.000000	101.173
75.000000	101.234
76.199997	101.291
77.500000	101.352
78.800003	101.424
80.000000	101.492
81.199997	101.550
82.500000	101.599
83.800003	101.648
85.000000	101.695
86.199997	101.725
87.500000	101.753
88.500000	101.781
90.000000	101.784
91.199997	101.822
92.500000	101.821
93.800003	101.829
95.000000	101.833
96.199997	101.838
97.500000	101.839
98.800003	101.836
100.000000	101.835
101.500000	101.821
103.000000	101.812
